"UF","Situacao_Domicilio","Qtd_Entrevistas"
"11","1","24092"
"11","2","9152"
"12","1","31448"
"12","2","6220"
"13","1","51740"
"13","2","10970"
"14","1","27556"
"14","2","5792"
"15","1","50318"
"15","2","21210"
"16","1","14300"
"16","2","1054"
"17","1","23104"
"17","2","7788"
"21","1","68650"
"21","2","53750"
"22","1","31702"
"22","2","18572"
"23","1","68360"
"23","2","32712"
"24","1","34848"
"24","2","12256"
"25","1","41368"
"25","2","18006"
"26","1","73984"
"26","2","27638"
"27","1","42800"
"27","2","26100"
"28","1","31488"
"28","2","16944"
"29","1","62636"
"29","2","39984"
"31","1","152204"
"31","2","53988"
"32","1","78438"
"32","2","16584"
"33","1","163824"
"33","2","10986"
"35","1","161912"
"35","2","34130"
"41","1","96474"
"41","2","23494"
"42","1","112684"
"42","2","29296"
"43","1","99266"
"43","2","33626"
"50","1","43600"
"50","2","9268"
"51","1","55338"
"51","2","12974"
"52","1","71130"
"52","2","12824"
"53","1","37136"
"53","2","2676"
